CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3300936,Carapebus,33,RJ,467.8084656084656,504.3287878787882,516.5717171717171,501.7507936507936,546.969696969697
3300951,Comendador Levy Gasparian,33,RJ,479.3585034013605,507.7780487804876,523.1371951219513,515.5285714285714,561.9512195121952
3301009,Campos dos Goytacazes,33,RJ,490.4693679350425,516.5582511210738,530.1640956651717,537.7231173380048,585.9760837070254
3301108,Cantagalo,33,RJ,490.8014925373133,518.0647887323946,532.6309859154929,529.0522388059702,607.887323943662
3301157,Cardoso Moreira,33,RJ,468.9182432432433,489.55437500000033,513.485,508.28175675675664,538.625
3301207,Carmo,33,RJ,483.1722846441946,516.8258992805759,530.7086330935252,527.6348314606746,620.431654676259
3301306,Casimiro de Abreu,33,RJ,488.0215133531159,516.7258379888262,530.5124301675982,526.3419881305637,578.6312849162011
3301405,Conceição de Macabu,33,RJ,472.7346938775508,503.0968354430378,515.0164556962022,515.6391156462586,572.5316455696203
3301504,Cordeiro,33,RJ,488.5284345047922,516.9800604229606,528.4936555891235,532.5827476038332,615.226586102719
3301603,Duas Barras,33,RJ,470.47016129032255,511.4570312499999,524.0562499999999,524.6895161290323,574.375
3301702,Duque de Caxias,33,RJ,472.9987961131656,502.8040459133815,521.5575464018233,506.44120732651066,562.13611201563
3301801,Engenheiro Paulo de Frontin,33,RJ,476.7421800947868,504.3465753424659,517.6100456621007,506.2113744075832,578.1735159817351
3301850,Guapimirim,33,RJ,473.0341307814986,505.0755656108596,523.727450980392,505.715151515151,552.7601809954751
3301876,Iguaba Grande,33,RJ,484.6949061662194,514.5781094527366,532.0679104477609,525.3136729222517,582.8358208955224
3301900,Itaboraí,33,RJ,472.01018978102206,502.1123788424262,519.3173636111876,505.51783941605777,577.928551647743
3302007,Itaguaí,33,RJ,475.2487617924525,502.5375687568761,521.2195269526956,510.0959316037738,550.3520352035204
3302056,Italva,33,RJ,496.2591463414632,521.4242937853107,532.69604519774,540.8024390243903,592.542372881356
3302106,Itaocara,33,RJ,490.5857482185269,517.9624719101123,527.9074157303371,541.440380047506,628.6741573033707
3302205,Itaperuna,33,RJ,504.12872154115615,531.1484698097601,536.9485525227462,561.4208406304734,613.8461538461538
3302254,Itatiaia,33,RJ,485.2504178272978,519.2398437499999,535.5997395833332,531.7245125348186,584.21875
3302270,Japeri,33,RJ,457.19956293706247,484.519533762058,507.2892282958202,479.9151223776231,530.5948553054662
3302304,Laje do Muriaé,33,RJ,483.2710144927536,516.5168831168833,519.4415584415583,540.6014492753625,561.2987012987013
3302403,Macaé,33,RJ,494.3551969625064,521.178981316727,534.1492882562274,538.30097294732,603.5987544483986
3302452,Macuco,33,RJ,465.6893617021277,501.21862745098025,510.8519607843135,514.2797872340424,556.2745098039215
3302502,Magé,33,RJ,471.2990358126722,502.3674960127594,519.6298564593307,504.61732093663846,569.7097288676237
3302601,Mangaratiba,33,RJ,478.3399071925756,510.2297592997811,529.2013129102842,515.3002320185615,557.0678336980307
3302700,Maricá,33,RJ,490.9908718788382,523.1724403387217,535.7444957659742,535.6315186246417,603.0100076982294
3302809,Mendes,33,RJ,481.3240282685512,512.4843853820599,531.6873754152824,528.0844522968198,610.0332225913621
3302858,Mesquita,33,RJ,472.9182015638576,505.2401869158876,522.9655830963035,508.2096872284967,552.4989841527835
3302908,Miguel Pereira,33,RJ,486.9945137157112,519.4666666666668,535.3180751173709,536.1700748129674,591.5023474178404
3303005,Miracema,33,RJ,472.35079365079366,505.4081285444234,517.6865784499048,509.4202380952384,597.7693761814745
3303104,Natividade,33,RJ,489.714285714286,513.7373737373737,529.1111111111109,538.526455026455,625.7575757575758
3303203,Nilópolis,33,RJ,482.3140158172245,518.1179455445549,532.1001237623769,524.4288664323378,576.3696369636964
3303302,Niterói,33,RJ,521.4529786223258,553.0370607028734,555.672496576908,586.7926650831333,667.1163852122319
3303401,Nova Friburgo,33,RJ,515.3852439969016,549.005079131395,553.0606551343384,576.7876839659174,679.0945896209054
3303500,Nova Iguaçu,33,RJ,471.8384915690654,501.9156695379789,520.4005951448737,505.7563086635127,556.6061080657792
3303609,Paracambi,33,RJ,486.122593068036,516.5286063569681,530.1694376528117,532.0432605905011,604.6943765281173
3303708,Paraíba do Sul,33,RJ,473.74254742547447,506.2457846952016,522.4395590142676,506.1712737127372,569.8054474708172
3303807,Paraty,33,RJ,497.9265625,530.9748792270533,538.2210144927539,539.2609374999998,579.2753623188406
3303856,Paty do Alferes,33,RJ,479.4338935574233,505.6494652406417,523.1409090909084,522.0652661064427,593.6363636363636
3303906,Petrópolis,33,RJ,500.62891392951207,531.05685290764,540.139749144811,549.2496763366123,611.060433295325
3303955,Pinheiral,33,RJ,494.2114942528736,518.5636363636364,535.7545454545456,542.01877394636,604.1258741258741
3304003,Piraí,33,RJ,486.4951890034365,516.0381270903007,530.8775919732437,537.5443298969071,605.886287625418
3304102,Porciúncula,33,RJ,480.30744186046496,502.73056768558985,521.1838427947598,522.558604651163,592.4017467248908
3304110,Porto Real,33,RJ,481.8571428571428,495.1916666666669,517.5651515151511,515.6583673469388,567.7272727272727
3304128,Quatis,33,RJ,482.1276073619632,516.7333333333331,533.5380116959063,524.2674846625769,618.8304093567251
3304144,Queimados,33,RJ,463.6690009337064,496.3221977052064,516.1825684024707,496.3478524743228,552.3036187113858
3304151,Quissamã,33,RJ,478.0942028985508,505.4525974025975,521.8597402597401,508.1434782608698,577.5324675324675
3304201,Resende,33,RJ,503.7812170860146,535.900388026607,544.6981152993353,562.9768285547099,613.4368070953436
3304300,Rio Bonito,33,RJ,484.7119503945884,512.2345047923325,526.0411075612358,525.567418263811,586.9435569755059
3304409,Rio Claro,33,RJ,470.9404878048779,496.7090909090911,511.3781818181824,499.3673170731708,574.5454545454545
3304508,Rio das Flores,33,RJ,473.9266666666668,518.9197368421051,524.0144736842107,518.6586666666667,580.0
3304524,Rio das Ostras,33,RJ,494.5214779005525,524.8734304207122,539.2388673139149,540.7035220994493,597.3462783171522
3304557,Rio de Janeiro,33,RJ,501.3441666913845,534.5655420178268,544.7218274064255,555.8410886734089,610.0065404668024
3304607,Santa Maria Madalena,33,RJ,470.0826530612244,518.1300970873784,522.9097087378641,507.0928571428572,556.6990291262136
3304706,Santo Antônio de Pádua,33,RJ,482.8404674046737,509.550578703704,521.6873842592595,529.4656826568261,609.4907407407408
